station_european_code;station_local_code;country_iso_code;country_name;station_name;station_start_date;station_end_date;type_of_station;station_ozone_classification;station_type_of_area;station_subcat_rural_back;street_type;station_longitude_deg;station_latitude_deg;station_altitude;station_city;lau_level1_code;lau_level2_code;lau_level2_name;EMEP_station
AD0944A;944;AD;ANDORRA;Engolasters;10/02/2006;;Background;;rural;;;1.565014;42.516945;1637;;;;;no
AD0945A;945;AD;ANDORRA;Envalira;01/05/2011;;Background;;rural;;;1.716986;42.534882;2515;;;;;no
AD0942A;942;AD;ANDORRA;Escaldes-Engordany;17/06/2004;;Background;;urban;;;1.539172;42.509724;1080;ANDORRA LA VELLA;;;;no
AL0201A;AL360A01;AL;ALBANIA;Tirana Center;06/01/2010;;Traffic;urban;urban;;Canyon street: L/H < 1.5;19.821772;41.330269;162;TIRANA;;;;no
AL0202A;AL360A02;AL;ALBANIA;Tirana IPH;15/06/2010;;Traffic;suburban;suburban;;Wide street: L/H > 1.5;19.851667;41.345600;207;TIRANA;;;;no
AT0ACH1;10ACH1;AT;AUSTRIA;Achenkirch - Am Zenzfeld;26/03/1993;17/09/2003;Background;rural;rural;regional;;11.700280;47.503056;463;;;;;yes
AT30101;30101;AT;AUSTRIA;Amstetten;01/01/1990;;Background;suburban;suburban;;Wide street: L/H > 1.5;14.879178;48.120277;270;AMSTETTEN;;30502;Amstetten;no
AT31102;31102;AT;AUSTRIA;Annaberg - Joachimsberg;01/03/1991;;Background;rural background;rural;remote;;15.321947;47.855278;891;ANNABERG;;31401;Annaberg;no
AT60190;6190;AT;AUSTRIA;Arnfels - Remschnigg;28/10/1992;;Background;rural;rural;regional;;15.367789;46.651947;785;;;61024;Oberhaag;no
AT2M121;02M121;AT;AUSTRIA;Arnoldstein Gailitz Waldsiedlungsweg;07/02/1997;;Industrial;rural;rural;;Unknown;13.705003;46.558887;574;ARNOLDSTEIN;;20702;Arnoldstein;no
AT2VL62;02VL62;AT;AUSTRIA;Arnoldstein Hohenthurn;20/12/1983;01/07/2010;Industrial;;rural;;Unknown;13.666947;46.558056;670;ARNOLDSTEIN;;;;no
AT20444;2444;AT;AUSTRIA;Arnoldstein Kugi;07/02/1997;;Industrial;;rural;;Unknown;13.698625;46.554165;570;ARNOLDSTEIN;;20702;Arnoldstein;no
AT2VL22;02VL22;AT;AUSTRIA;Arnoldstein Waldsiedlung;31/05/1984;01/07/2010;Industrial;;rural;;Unknown;13.708900;46.557220;580;ARNOLDSTEIN;;;;no
AT4S405;04S405;AT;AUSTRIA;Asten Kirchengasse;01/02/1977;10/04/2003;Traffic;;suburban;;Wide street: L/H > 1.5;14.416667;48.223335;255;LINZ;;;;no
AT4S125;04S125;AT;AUSTRIA;Bad Ischl;01/04/1991;;Background;suburban;suburban;;Wide street: L/H > 1.5;13.632792;47.716667;460;BAD ISCHL;;40703;Bad Ischl;no
AT30201;30201;AT;AUSTRIA;Bad Vöslau - Gainfarn;01/10/1992;;Background;rural;suburban;;Unknown;16.206951;47.959999;286;BAD VÖSLAU;;30603;Bad Vöslau;no
AT31406;31406;AT;AUSTRIA;Biedermannsdorf Mühlengasse;15/02/2007;;Traffic;suburban;suburban;near city;Highway: average speed vehicles > 80 km/h;16.337223;48.083332;188;BIEDERMANNSDORF;;;;no
AT31496;31496;AT;AUSTRIA;Biedermannsdorf Sportplatz;10/05/1996;15/02/2007;Background;;rural;near city;;16.348612;48.081112;180;BIEDERMANNSDORF;;;;no
AT2VK26;02VK26;AT;AUSTRIA;Bleiburg Koschatstrasse;01/10/1991;;Background;rural;rural;unknown;Unknown;14.795012;46.585556;480;BLEIBURG;;20801;Bleiburg;no
AT82708;82708;AT;AUSTRIA;Bludenz Herrengasse;29/11/2003;;Background;suburban;suburban;;Canyon street: L/H < 1.5;9.827230;47.156113;580;BLUDENZ;;80103;Bludenz;no
AT82707;82707;AT;AUSTRIA;Bludenz Rathaus;01/12/1986;28/11/2003;Background;;urban;;Unknown;9.819725;47.156944;580;BLUDENZ;;80103;Bludenz;no
